Office,Item,Serial No.,Date of Purchase,Make,Model,Remarks
Puthuppalli MDG,Monitor,9I003234201801,Feb-24,HLBS,HLBS ,Working
,CPU,21H12L2023B50688,Feb-24,HLBS,HLBS ,Windows 10
,DOT MATRIX PRINTER,Q7DY062332,,Epson,EPSON LX 310,Service due
,PB PRINTER,X7ZT047964,2023,Epson,EPSON PLQ 35,Battery replaced
,BARCODE SCANNER,OADMLB000737,,TVS,TVS BS-C101 STAR,
,SPEAKER,ZAR18NT48931,,Zebronics,ZEBRONICS-PLUTO,
,Monitor,6CM52113QD,May-15,HP,HP-V192,
,CPU,INA526Y909,May-15,HP,HP-406G1MT,
,LASER PRINTER,CNC2106855,2015,HP,HP LASER JET 1020Plus,
,PB PRINTER,X23T052250,,Epson,EPSON PLQ -30,
,COUNTING MACHINE,2020000000000,2015,Spectra,SPECTRA,
,BARCODE SCANNER,OADMLB000723,,TVS,TVS BS-C101 STAR,
,CPU,UXB1JSIO91I0436487,2019,Acer,ACER- VERITON,
,MONITOR,MMLY0SS0118500F5BC8525,2019,Acer,ACER-  V196 HQL,
,IRIS SCANNER,BA1801A025924,2019,CMI,CMI TECH,
,FP SCANNER,C8R1CT00619,2019,GreenBit,GREEN BIT-DACTY SCAN 84C,
,FLAT BED SCANNER,KLUY26240,,Canon,CANON Canoscan Lide 300,
,MONITOR,MMT3FSS0017500152D3B00,,Acer,Acer E1900 HQ,
,MONITOR,MMLTJSS00344701FB98501,,Acer,ACER P166HQL,
,CPU,IN532ZVWN,,HP,HP-406G1MT,
,LASER PRINTER,0AN2B8GHAA026MJ,,Samsung,SAMSUNG EXPRESS M2830DW,
,BARCODE SCANNER,NAPMLB003448,,TVS,TVS BS-C101 STAR,
,UPS,U07L21L00529,2021,BPE,BPE-MF1103L  - 3KV,
MANGANAM,MONITOR,MMLY0SS0118500F62D8525,2019,Acer,ACER V196HQL,
,CPU,UXVQNSI244J0260731,2019,Acer,ACER - VERITON,
,DOT MATRIX PRINTER,Q7DY143400,2024-APRIL,Epson,EPSON LX-310,
,LASER PRINTER,VNM1C02715,2023,HP,HP - M207-212,
,PB PRINTER,X7ZT008103,2022,Epson,EPSON PLQ35,
,BAR CODE SCANNER,MBKMLB000806,,TVS,TVS BS-C101 STAR,
,UPS,10050278,,Hykon,HYKON 1KV,
KOTTAYAM COLLECTORATE,CPU,UD305SI00U40804A200700,2024-MARCH,Acer,ACER -VERITON,
,MONITOR,UR14701017407F7A109F00,2024- MARCH,Acer,ACER EV226HQL,
,LASER PRINTER,VNF4326919,2008,HP,HP LASERJET P1007,
,BAR CODE SCANNER,UAAMLB000251,,TVS,TVS BS-C101-STAR,
,CPU,UXVTUSI333M2089516,Mar-23,Acer,ACER- VERITON,
,MONITOR,MMT3FSS001750007253B00,Mar-23,Acer,ACER- E1900HQ,
,LASER PRINTER,CNCH654773,2015,HP,HP LASERJET 1020 PLUS,
,BAR CODE SCANNER,,,TVS,TVS-BS C101-STAR,
,UPS,2169013,2019,Keptron,KEPTRON 420/20 EXT24V,
,CPU,UXB1JSII11I0905789,2022,Acer,ACER VERITON,
,MONITOR,MMLY7SS02822406AFC859M,2022,Acer,ACER V226HQL,
,BARCODE SCANNER,RBQMLB004579,,TVS,TVS BS-C101-STAR,
,MONITOR,33602457485,2018,Acer,ACER-P166HQL,
,CPU,INA91502B5,2012,HP,HP COMPAQ,
,CPU,INA91503R9,2012,HP,HP COMPAQ,
,LASER PRINTER,0AN2B8GHAA027DB,2017,Samsung,SAMSUNG EXPRESS,
,PASSBOOK PRINTER,QAL6MT016255,2017,TVS,TVS SPEED 40,
,UPS,26903,2020,Keptron,KEPTRON 420/20 24V,
PARIYARAM,CPU,UXVQNSI285J1282885,Apr-20,Acer,ACER-VERITON,
,MONITOR,MMLY0SS01190808FD58525,Apr-20,Acer,ACER V196HQL,
,DOTMATRIX PRINTER,JNWY275105,,Epson,EPSON LX300+II,
,LASER PRINTER,VNC3800735,2021,HP,HP M207-M212,
,PB PRINTER,X7ZT007669,2022,Epson,EPSON PLQ-35,
,UPS,NOT READABLE,,Hykon,HYKON 1kv,
,BARCODE READER,,,TVS,TVS ,
PALLOM,CPU,8CG8438JMM,2020,HP,HP,
,MONITOR,3CQ0131JJT,2020,HP,HP 194,
,DOTMATRIX PRINTER,JNWY363466,2012,Epson,EPSON LX300+II,
,LASER PRINTER,VNF4H06847,2015,HP,HP LASERJET P1106,
,PB PRINTER,QAL6MT016901,2020,TVS,TVS SPEED40 PLUS,
